timestamp,open,high,price_validation,hourly_volatility,low,close,price_change,volume
2025-05-13T20:30:56,104519.5,104662.7,Valid,218,104444.9,104502,-17,8.4681014
2025-05-13T20:45:52,104502,104711.8,Valid,242,104469.4,104553.3,51,10.48433508
2025-05-13T21:00:48,104553.4,104615.8,Valid,342,104274.1,104277.9,-275,15.45054538
2025-05-13T21:15:44,104279.3,104531.3,Valid,363,104168.5,104498.7,219,13.70489503
2025-05-13T21:30:40,104498.5,104608.8,Valid,303,104305.6,104317.2,-181,9.73476257
2025-05-13T21:45:36,104317.2,104378.8,Valid,154,104224.6,104337,20,8.58524212
2025-05-13T22:00:32,104337,104430,Valid,258,104171.7,104218.3,-119,13.96317901
2025-05-13T22:15:28,104209.7,104313.2,Valid,204,104109.2,104252.3,43,14.57116262
2025-05-13T22:30:24,104252.2,104336.8,Valid,207,104129.7,104225.6,-27,9.01627972
2025-05-13T22:45:20,104222.7,104252.9,Valid,162,104091.2,104123.1,-100,17.54084996
2025-05-13T23:00:16,104123.2,104175.3,Valid,306,103869.5,104125,2,20.23655898
2025-05-13T23:15:12,104125,104191.2,Valid,238,103953.2,103977,-148,13.6415425
2025-05-13T23:30:08,103977,104158.7,Valid,184,103974.9,104158.6,182,8.03522593
2025-05-13T23:45:04,104158.7,104284,Valid,159,104124.7,104124.7,-34,10.29925994
2025-05-14T00:00,104112.3,104122.2,Valid,212,103910,103955.6,-157,13.79023996
2025-05-14T00:14:56,103955.5,104078,Valid,269,103809,103901,-54,15.82548048
2025-05-14T00:29:52,103901.1,104013.3,Valid,246,103766.9,103837.8,-63,12.83058606
2025-05-14T00:44:48,103837.6,104001.8,Valid,199,103803.1,103915,77,14.7287708
2025-05-14T00:59:44,103911.4,104035.9,Valid,220,103816.1,104017.9,107,28.69606919
2025-05-14T01:14:40,104025.1,104050.5,Valid,229,103821.8,103882.6,-142,18.11528944
2025-05-14T01:29:36,103892.1,104070.5,Valid,196,103874.1,104017.1,125,23.25258335
2025-05-14T01:44:32,104009.5,104073.8,Valid,386,103687.8,103737.8,-272,37.67233343
2025-05-14T01:59:28,103737.8,103788.8,Valid,293,103496.1,103715.2,-23,34.97193054
2025-05-14T02:14:24,103715.2,103749.5,Valid,161,103588.4,103602.5,-113,10.31066681
2025-05-14T02:29:20,103602.5,103751.4,Valid,186,103565.2,103751.4,149,9.06520628
2025-05-14T02:44:16,103751.3,103751.4,Valid,140,103611.6,103711.6,-40,13.11479951
2025-05-14T02:59:12,103711.6,103778.3,Valid,253,103525.2,103648.3,-63,10.83989225
2025-05-14T03:14:08,103648.3,103649.4,Valid,136,103513.6,103531,-117,9.80476839
2025-05-14T03:29:04,103531,103610.5,Valid,159,103452,103610.4,79,8.74066232
2025-05-14T03:44,103610.5,103610.5,Valid,64,103546.5,103578,-32,2.90840848
2025-05-14T03:58:56,103577.9,103578,Valid,112,103465.8,103549,-29,6.68327632
2025-05-14T04:16,103552.5,103692.7,Valid,210,103482.7,103675.4,123,5.09906777
2025-05-14T04:30:56,103675.4,103848.7,Valid,232,103616.8,103804.9,130,9.98514961
2025-05-14T04:45:52,103804.8,103849.1,Valid,137,103712.1,103745.8,-59,8.33104252
2025-05-14T05:00:48,103745.7,103897.8,Valid,186,103711.9,103758.7,13,14.46237073
2025-05-14T05:15:44,103758.7,103847.1,Valid,97,103750.3,103751.5,-7,3.56239332
2025-05-14T05:30:40,103751.5,103851.3,Valid,153,103698.6,103837.8,86,3.75944398
2025-05-14T05:45:36,103837.7,103986.3,Valid,165,103821.6,103899.1,61,12.15850155
2025-05-14T06:00:32,103899.2,103963.3,Valid,165,103798.6,103857,-42,7.63859018
2025-05-14T06:15:28,103857,103898.9,Valid,187,103712.2,103771.8,-85,9.11840822
2025-05-14T06:30:24,103771.8,103785.1,Valid,102,103682.8,103719.3,-52,6.41770273
2025-05-14T06:45:20,103719.4,103806.8,Valid,148,103658.4,103761.9,43,6.91625745
2025-05-14T07:00:16,103761.9,103762,Valid,128,103634.3,103634.3,-128,7.8097904
2025-05-14T07:15:12,103634.3,103634.3,Valid,237,103396.9,103488.9,-145,14.84065656
2025-05-14T07:30:08,103488.9,103650.7,Valid,235,103415.6,103650.6,162,11.24168597
2025-05-14T07:45:04,103650.6,103807.6,Valid,173,103634.5,103708,57,8.78666727
2025-05-14T08:00,103708,103885.7,Valid,420,103465.9,103575.6,-132,25.6193652
2025-05-14T08:14:56,103575.5,103719.5,Valid,216,103503.5,103641.3,66,7.63721969
2025-05-14T08:29:52,103641.4,103713.5,Valid,214,103500,103713.4,72,11.35133273
2025-05-14T08:44:48,103713.3,103741.5,Valid,542,103200,103205.7,-508,78.79747994
2025-05-14T08:59:44,103205.8,103301.8,Valid,436,102866.2,103135.1,-71,46.13508436
